iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",None,Start,"[((34, 15), 'South', 1, 47, 48), ((33, 16), 'West', 1, 47, 48)]",[],"['(34, 15)', '(33, 16)']","[(34, 16)]",0,48,48
2,"(34, 15)","(34, 16)",South,"[((34, 14), 'South', 2, 46, 48)]","['(33, 16)']","['(33, 16)', '(34, 14)']","[(34, 15), (34, 16)]",1,47,48
3,"(33, 16)","(34, 16)",West,"[((32, 16), 'West', 2, 46, 48)]","['(34, 14)']","['(34, 14)', '(32, 16)']","[(34, 15), (34, 16), (33, 16)]",1,47,48
4,"(34, 14)","(34, 15)",South,"[((33, 14), 'West', 3, 45, 48)]","['(32, 16)']","['(32, 16)', '(33, 14)']","[(34, 15), (34, 16), (34, 14), (33, 16)]",2,46,48
5,"(32, 16)","(33, 16)",West,"[((31, 16), 'West', 3, 45, 48)]","['(33, 14)']","['(33, 14)', '(31, 16)']","[(33, 16), (34, 16), (32, 16), (34, 15), (34, 14)]",2,46,48
6,"(33, 14)","(34, 14)",West,"[((32, 14), 'West', 4, 44, 48)]","['(31, 16)']","['(31, 16)', '(32, 14)']","[(33, 16), (34, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",3,45,48
7,"(31, 16)","(32, 16)",West,"[((30, 16), 'West', 4, 44, 48)]","['(32, 14)']","['(32, 14)', '(30, 16)']","[(33, 16), (34, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",3,45,48
8,"(32, 14)","(33, 14)",West,"[((31, 14), 'West', 5, 43, 48)]","['(30, 16)']","['(30, 16)', '(31, 14)']","[(33, 16), (32, 14), (34, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",4,44,48
9,"(30, 16)","(31, 16)",West,"[((29, 16), 'West', 5, 43, 48)]","['(31, 14)']","['(31, 14)', '(29, 16)']","[(33, 16), (32, 14), (34, 16), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",4,44,48
10,"(31, 14)","(32, 14)",West,"[((30, 14), 'West', 6, 42, 48)]","['(29, 16)']","['(29, 16)', '(30, 14)']","[(31, 14), (33, 16), (32, 14), (34, 16), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",5,43,48
11,"(29, 16)","(30, 16)",West,"[((28, 16), 'West', 6, 42, 48)]","['(30, 14)']","['(30, 14)', '(28, 16)']","[(31, 14), (33, 16), (32, 14), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",5,43,48
12,"(30, 14)","(31, 14)",West,"[((30, 13), 'South', 7, 41, 48)]","['(28, 16)']","['(28, 16)', '(30, 13)']","[(30, 14), (31, 14), (33, 16), (32, 14), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",6,42,48
13,"(28, 16)","(29, 16)",West,"[((27, 16), 'West', 7, 41, 48)]","['(30, 13)']","['(30, 13)', '(27, 16)']","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",6,42,48
14,"(30, 13)","(30, 14)",South,"[((30, 12), 'South', 8, 40, 48)]","['(27, 16)']","['(27, 16)', '(30, 12)']","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (32, 16), (34, 15), (33, 14), (34, 14)]",7,41,48
15,"(27, 16)","(28, 16)",West,"[((26, 16), 'West', 8, 40, 48)]","['(30, 12)']","['(30, 12)', '(26, 16)']","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (32, 16), (27, 16), (34, 15), (33, 14), (34, 14)]",7,41,48
16,"(30, 12)","(30, 13)",South,"[((31, 12), 'East', 9, 41, 50)]","['(26, 16)']","['(26, 16)', '(31, 12)']","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",8,40,48
17,"(26, 16)","(27, 16)",West,"[((25, 16), 'West', 9, 39, 48)]","['(31, 12)']","['(25, 16)', '(31, 12)']","[(30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",8,40,48
18,"(25, 16)","(26, 16)",West,"[((25, 15), 'South', 10, 38, 48), ((24, 16), 'West', 10, 38, 48)]","['(31, 12)']","['(25, 15)', '(31, 12)', '(24, 16)']","[(25, 16), (30, 14), (31, 14), (33, 16), (32, 14), (28, 16), (34, 16), (29, 16), (30, 13), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (30, 12), (34, 15), (33, 14), (34, 14)]",9,39,48
19,"(25, 15)","(25, 16)",South,"[((25, 14), 'South', 11, 37, 48)]","['(24, 16)', '(31, 12)']","['(24, 16)', '(31, 12)', '(25, 14)']","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)]",10,38,48
20,"(24, 16)","(25, 16)",West,"[((23, 16), 'West', 11, 37, 48)]","['(25, 14)', '(31, 12)']","['(25, 14)', '(31, 12)', '(23, 16)']","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16)]",10,38,48
21,"(25, 14)","(25, 15)",South,"[((26, 14), 'East', 12, 38, 50)]","['(23, 16)', '(31, 12)']","['(23, 16)', '(31, 12)', '(26, 14)']","[(31, 14), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",11,37,48
22,"(23, 16)","(24, 16)",West,"[((22, 16), 'West', 12, 36, 48)]","['(31, 12)', '(26, 14)']","['(22, 16)', '(26, 14)', '(31, 12)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",11,37,48
23,"(22, 16)","(23, 16)",West,"[((21, 16), 'West', 13, 35, 48)]","['(31, 12)', '(26, 14)']","['(21, 16)', '(26, 14)', '(31, 12)']","[(31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",12,36,48
24,"(21, 16)","(22, 16)",West,"[((20, 16), 'West', 14, 34, 48)]","['(31, 12)', '(26, 14)']","['(20, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",13,35,48
25,"(20, 16)","(21, 16)",West,"[((19, 16), 'West', 15, 33, 48)]","['(31, 12)', '(26, 14)']","['(19, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (32, 16), (25, 14)]",14,34,48
26,"(19, 16)","(20, 16)",West,"[((18, 16), 'West', 16, 32, 48)]","['(31, 12)', '(26, 14)']","['(18, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (19, 16), (32, 16), (25, 14)]",15,33,48
27,"(18, 16)","(19, 16)",West,"[((17, 16), 'West', 17, 31, 48)]","['(31, 12)', '(26, 14)']","['(17, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (30, 16), (19, 16), (32, 16), (25, 14)]",16,32,48
28,"(17, 16)","(18, 16)",West,"[((16, 16), 'West', 18, 30, 48)]","['(31, 12)', '(26, 14)']","['(16, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",17,31,48
29,"(16, 16)","(17, 16)",West,"[((15, 16), 'West', 19, 29, 48)]","['(31, 12)', '(26, 14)']","['(15, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",18,30,48
30,"(15, 16)","(16, 16)",West,"[((14, 16), 'West', 20, 28, 48)]","['(31, 12)', '(26, 14)']","['(14, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",19,29,48
31,"(14, 16)","(15, 16)",West,"[((13, 16), 'West', 21, 27, 48)]","['(31, 12)', '(26, 14)']","['(13, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",20,28,48
32,"(13, 16)","(14, 16)",West,"[((12, 16), 'West', 22, 26, 48)]","['(31, 12)', '(26, 14)']","['(12, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",21,27,48
33,"(12, 16)","(13, 16)",West,"[((11, 16), 'West', 23, 25, 48)]","['(31, 12)', '(26, 14)']","['(11, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",22,26,48
34,"(11, 16)","(12, 16)",West,"[((10, 16), 'West', 24, 24, 48)]","['(31, 12)', '(26, 14)']","['(10, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (32, 16), (25, 14)]",23,25,48
35,"(10, 16)","(11, 16)",West,"[((9, 16), 'West', 25, 23, 48)]","['(31, 12)', '(26, 14)']","['(9, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16), (25, 14)]",24,24,48
36,"(9, 16)","(10, 16)",West,"[((8, 16), 'West', 26, 22, 48)]","['(31, 12)', '(26, 14)']","['(8, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16), (25, 14)]",25,23,48
37,"(8, 16)","(9, 16)",West,"[((7, 16), 'West', 27, 21, 48)]","['(31, 12)', '(26, 14)']","['(7, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",26,22,48
38,"(7, 16)","(8, 16)",West,"[((6, 16), 'West', 28, 20, 48)]","['(31, 12)', '(26, 14)']","['(6, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",27,21,48
39,"(6, 16)","(7, 16)",West,"[((5, 16), 'West', 29, 19, 48)]","['(31, 12)', '(26, 14)']","['(5, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",28,20,48
40,"(5, 16)","(6, 16)",West,"[((4, 16), 'West', 30, 18, 48)]","['(31, 12)', '(26, 14)']","['(4, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",29,19,48
41,"(4, 16)","(5, 16)",West,"[((3, 16), 'West', 31, 17, 48)]","['(31, 12)', '(26, 14)']","['(3, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",30,18,48
42,"(3, 16)","(4, 16)",West,"[((2, 16), 'West', 32, 16, 48)]","['(31, 12)', '(26, 14)']","['(2, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",31,17,48
43,"(2, 16)","(3, 16)",West,"[((1, 16), 'West', 33, 15, 48)]","['(31, 12)', '(26, 14)']","['(1, 16)', '(26, 14)', '(31, 12)']","[(21, 16), (31, 14), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (30, 12), (33, 14), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (30, 14), (11, 16), (33, 16), (32, 14), (2, 16), (24, 16), (13, 16), (25, 15), (26, 16), (15, 16), (6, 16), (34, 14), (4, 16), (28, 16), (30, 13), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (25, 14)]",32,16,48
